meta,agent,attempt,baseline,expression,parameters,tree_nodes,train_rho_error,train_velocity_error,train_data_error,validation_rho_error,validation_velocity_error,validation_data_error,validation_fitness,feasible,optimizer_success,optimizer_evaluations,seed,fit_runtime_seconds,peak_rss_mb,source
meta_1,agent_1,attempt_1,Greenshields,exp(a*rho),[-0.059439737948851976],4,7.507633209228516,6.794739723205566,7.151186466217041,10.017129898071289,7.653739929199219,8.835434913635254,8.875434913635253,True,False,60,1110,9.537429552000503,825.94921875,meta_1/agent_1/attempt_1/results.json
meta_1,agent_1,attempt_1,IDM,exp(a*rho),[-0.3034516108076893],4,7.14832067489624,7.529170513153076,7.338745594024658,6.905651092529297,8.497225761413574,7.7014384269714355,7.741438426971436,True,False,60,1111,28.522804594000263,1266.92578125,meta_1/agent_1/attempt_1/results.json
meta_1,agent_1,attempt_1,Weidmann,exp(a*rho),[0.16334053947358496],4,8.034648895263672,6.2017107009887695,7.118179798126221,7.510491371154785,6.709445476531982,7.109968185424805,7.149968185424805,True,True,56,1112,9.278655086000072,1436.63671875,meta_1/agent_1/attempt_1/results.json
meta_1,agent_1,attempt_1,Triangular,exp(a*rho),[-0.19378753393360434],4,7.765419006347656,10.349940299987793,9.057680130004883,6.5038743019104,8.996301651000977,7.750087738037109,7.790087738037109,True,False,60,1113,10.018647459999556,1622.4140625,meta_1/agent_1/attempt_1/results.json
meta_1,agent_1,attempt_1,Del Castillo,exp(a*rho),[-0.08049199000151822],4,7.248034477233887,6.744309902191162,6.996171951293945,6.038365364074707,7.402493000030518,6.720429420471191,6.760429420471191,True,False,56,1114,15.017749443999492,1878.59375,meta_1/agent_1/attempt_1/results.json
meta_1,agent_1,attempt_2,Greenshields,exp(a*rho + b*rho^2),"[-0.05944921715600992, 0.0]",10,7.507604598999023,6.794766902923584,7.151185989379883,10.016876220703125,7.6537628173828125,8.835319519042969,8.935319519042968,True,False,60,1120,9.707620166000197,2027.2421875,meta_1/agent_1/attempt_2/results.json
meta_1,agent_1,attempt_2,IDM,exp(a*rho + b*rho^2),"[-0.9796330921845116, 1.451517798664292]",10,7.166966438293457,6.1423540115356445,6.654660224914551,6.467944145202637,8.669989585876465,7.568966865539551,7.66896686553955,True,False,60,1121,30.11797486100022,2387.609375,meta_1/agent_1/attempt_2/results.json
meta_1,agent_1,attempt_2,Weidmann,exp(a*rho + b*rho^2),"[0.163338386098993, 0.36549811678257565]",10,7.768280506134033,6.277886867523193,7.023083686828613,11.939809799194336,10.048404693603516,10.994107246398926,11.094107246398925,True,False,60,1122,10.646958368000014,2556.33203125,meta_1/agent_1/attempt_2/results.json
meta_1,agent_1,attempt_2,Triangular,exp(a*rho + b*rho^2),"[-0.19378753393360434, 0.0]",10,7.765419006347656,10.349940299987793,9.057680130004883,6.5038743019104,8.996301651000977,7.750087738037109,7.850087738037109,True,False,60,1123,9.698324791999767,2736.51953125,meta_1/agent_1/attempt_2/results.json
meta_1,agent_1,attempt_2,Del Castillo,exp(a*rho + b*rho^2),"[0.14350231831986715, -0.4919838371499423]",10,7.12888240814209,6.750040531158447,6.939461708068848,6.15329122543335,8.183040618896484,7.168166160583496,7.268166160583496,True,False,60,1124,17.127494334000403,2972.27734375,meta_1/agent_1/attempt_2/results.json
meta_1,agent_1,attempt_3,Greenshields,exp(a*rho + b*rho^2 + c*rho^3),"[0.1462883696976811, -0.8855922778887466, 0.939213679027036]",16,7.416229248046875,6.713172435760498,7.064701080322266,8.631691932678223,7.458929061889648,8.045310974121094,8.205310974121094,True,False,60,1130,9.687141514999894,3136.85546875,meta_1/agent_1/attempt_3/results.json
meta_1,agent_1,attempt_3,IDM,exp(a*rho + b*rho^2 + c*rho^3),"[-0.30366678697204413, 0.17323326817553425, 0.0]",16,7.019094467163086,7.513858795166016,7.266476631164551,6.788599491119385,7.888529300689697,7.338564395904541,7.498564395904541,True,False,60,1131,32.41476535299989,3483.30859375,meta_1/agent_1/attempt_3/results.json
meta_1,agent_1,attempt_3,Weidmann,exp(a*rho + b*rho^2 + c*rho^3),"[0.163338386098993, 0.36549811678257565, 0.0]",16,7.768280506134033,6.277886867523193,7.023083686828613,11.939809799194336,10.048404693603516,10.994107246398926,11.154107246398926,True,False,60,1132,11.786884253000608,3665.5234375,meta_1/agent_1/attempt_3/results.json
meta_1,agent_1,attempt_3,Triangular,exp(a*rho + b*rho^2 + c*rho^3),"[-0.19371325685027665, 0.0, 0.0]",16,7.765449523925781,10.349954605102539,9.05770206451416,6.503795146942139,8.995250701904297,7.749523162841797,7.909523162841797,True,False,60,1133,10.32980745199984,3840.19921875,meta_1/agent_1/attempt_3/results.json
meta_1,agent_1,attempt_3,Del Castillo,exp(a*rho + b*rho^2 + c*rho^3),"[-0.08001789926580088, -0.06951187409072082, 0.0]",16,7.192105293273926,6.789797782897949,6.9909515380859375,6.091518878936768,8.360629081726074,7.22607421875,7.38607421875,True,False,60,1134,15.915323720999368,4096.0703125,meta_1/agent_1/attempt_3/results.json
meta_1,agent_2,attempt_1,Greenshields,exp(a*rho*(1-rho/0.55995123)),[0.05870392846181642],10,7.760090351104736,6.63980770111084,7.199949264526367,11.619335174560547,7.637561798095703,9.628448486328125,9.728448486328125,True,True,36,2110,7.1752856809998775,775.95703125,meta_1/agent_2/attempt_1/results.json
meta_1,agent_2,attempt_1,IDM,exp(a*rho*(1-rho/0.694751529445)),[-1.0694461521696872],10,7.201643943786621,6.114647388458252,6.658145904541016,6.621784687042236,9.723468780517578,8.172626495361328,8.272626495361328,True,False,60,2111,30.546363340000426,1234.08984375,meta_1/agent_2/attempt_1/results.json
meta_1,agent_2,attempt_1,Weidmann,exp(a*rho*(1-rho/0.80612097)),[0.1365440521436772],10,8.205365180969238,6.206140518188477,7.205752849578857,5.923584938049316,6.521000385284424,6.222292900085449,6.322292900085449,True,True,52,2112,8.86619620700003,1414.6015625,meta_1/agent_2/attempt_1/results.json
meta_1,agent_2,attempt_1,Triangular,exp(a*rho*(1-rho/0.671299943071)),[-0.5717219093352862],10,7.716850280761719,9.789294242858887,8.753072738647461,6.539397716522217,9.179962158203125,7.85968017578125,7.95968017578125,True,False,60,2113,10.63164114600022,1593.609375,meta_1/agent_2/attempt_1/results.json
meta_1,agent_2,attempt_1,Del Castillo,exp(a*rho*(1-rho/0.61532169)),[-0.057113083218120406],10,7.384114742279053,6.707156658172607,7.04563570022583,6.753606796264648,6.547346115112305,6.650476455688477,6.750476455688476,True,True,43,2114,12.058323807999841,1835.76953125,meta_1/agent_2/attempt_1/results.json
meta_1,agent_2,attempt_2,Greenshields,exp((a*rho+b*rho^2)*(1-rho/0.55995123)),"[0.05870392846181642, -0.4948637635900465]",15,7.509015083312988,6.722798824310303,7.115906715393066,9.93820858001709,7.595423698425293,8.766816139221191,8.916816139221192,True,False,60,2120,11.117046277000554,852.55859375,meta_1/agent_2/attempt_2/results.json
meta_1,agent_2,attempt_2,IDM,exp((a*rho+b*rho^2)*(1-rho/0.694751529445)),"[-1.0687336630609796, 0.3117903362673559]",15,7.1706156730651855,6.076310157775879,6.623462677001953,6.332851886749268,8.239949226379395,7.28640079498291,7.4364007949829105,True,False,60,2121,31.875251118999586,1294.19921875,meta_1/agent_2/attempt_2/results.json
meta_1,agent_2,attempt_2,Weidmann,exp((a*rho+b*rho^2)*(1-rho/0.80612097)),"[0.21022909055236894, 0.4442977223878447]",15,7.964241027832031,6.357306003570557,7.160773277282715,7.761976718902588,6.900208950042725,7.331092834472656,7.481092834472657,True,False,60,2122,13.207668728000499,1497.93359375,meta_1/agent_2/attempt_2/results.json
meta_1,agent_2,attempt_2,Triangular,exp((a*rho+b*rho^2)*(1-rho/0.671299943071)),"[-1.7007035445913696, 3.3015598076084562]",15,8.578435897827148,8.72382640838623,8.651130676269531,12.831498146057129,7.996793746948242,10.414146423339844,10.564146423339844,True,False,60,2123,10.886164834999363,1689.0234375,meta_1/agent_2/attempt_2/results.json
